Gene_length	Strand	Gene_name	Ensembl_gene	Gene_biotype
435	-	AC114495.1	ENSG00000225142	processed_pseudogene
9433	-	PRKAG3	ENSG00000115592	protein_coding
458	-	AC132068.1	ENSG00000279757	TEC
8406	+	RPS5	ENSG00000083845	protein_coding
366	-	COX5BP3	ENSG00000235967	processed_pseudogene
356	+	AP000943.4	ENSG00000280167	TEC
104	+	SNORA25	ENSG00000251744	snoRNA
10200	+	LINC00349	ENSG00000231238	lincRNA
5066	+	AC006058.1	ENSG00000261786	lincRNA
30970	-	FBXO47	ENSG00000204952	protein_coding
147866	+	FAM135A	ENSG00000082269	protein_coding
1480	+	AC066616.2	ENSG00000259600	processed_pseudogene
3201	-	TP53TG3	ENSG00000183632	protein_coding
227686	+	AC010894.3	ENSG00000236449	antisense_RNA
416	-	AC092916.2	ENSG00000240787	processed_pseudogene
369	-	NRON	ENSG00000253079	misc_RNA
40434	-	MMS19	ENSG00000155229	protein_coding
921	-	HNRNPA1P64	ENSG00000213559	processed_pseudogene
944	+	OR4A8	ENSG00000225997	polymorphic_pseudogene
158	-	AL096712.1	ENSG00000275550	processed_pseudogene
7919	+	FAM95B1	ENSG00000223839	lincRNA
1533	-	AC018410.2	ENSG00000256897	antisense_RNA
5167	+	AP001372.2	ENSG00000254837	bidirectional_promoter_lncRNA
2573	+	AL024507.2	ENSG00000272476	antisense_RNA
34340	-	AC073311.1	ENSG00000226680	lincRNA
2947	+	ABHD17AP9	ENSG00000261536	unprocessed_pseudogene
1105	+	AC069257.1	ENSG00000228028	antisense_RNA
19142	-	AC121161.2	ENSG00000249901	antisense_RNA
495	-	AC234783.1	ENSG00000235946	processed_pseudogene
3306	-	AC027031.1	ENSG00000254021	lincRNA
9483	+	TRIM15	ENSG00000204610	protein_coding
15723	+	LINC01327	ENSG00000241669	lincRNA
66184	+	MGRN1	ENSG00000102858	protein_coding
731	+	AC078788.2	ENSG00000241912	lincRNA
16912	+	FGFRL1	ENSG00000127418	protein_coding
3633	-	SCRN2	ENSG00000141295	protein_coding
609	-	AC011506.1	ENSG00000242411	processed_pseudogene
68	-	RNU7-136P	ENSG00000238427	snRNA
584	+	AC018793.5	ENSG00000284546	protein_coding
6191	+	NDUFB4	ENSG00000065518	protein_coding
5400	+	SOX9	ENSG00000125398	protein_coding
4999	-	AC131211.1	ENSG00000240354	lincRNA
67392	-	PRKD3	ENSG00000115825	protein_coding
29868	-	AC022601.1	ENSG00000268873	antisense_RNA
591	+	TRAV6	ENSG00000211780	TR_V_gene
2613	+	SRGAP3-AS3	ENSG00000227929	antisense_RNA
10913	+	NACAP1	ENSG00000228224	transcribed_processed_pseudogene
33539	-	AKAP3	ENSG00000111254	protein_coding
14310	+	KIR3DL1	ENSG00000167633	protein_coding
729	-	AL139095.2	ENSG00000220472	processed_pseudogene
389626	-	KCNH5	ENSG00000140015	protein_coding
33682	+	AC018521.1	ENSG00000263798	processed_transcript
1376	+	AC015959.1	ENSG00000279829	TEC
11169	-	KLF16	ENSG00000129911	protein_coding
129597	-	AC008056.1	ENSG00000258637	antisense_RNA
14794	+	AC022217.3	ENSG00000253736	antisense_RNA
956	+	VN1R53P	ENSG00000236313	processed_pseudogene
1533	-	AL606534.5	ENSG00000253326	processed_pseudogene
90314	-	PARD6G	ENSG00000178184	protein_coding
