# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_sequence_feature	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ADAMTS1	ENSG00000154734	ENST00000284984	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ADAMTS1	ENSG00000154734	ENST00000451462	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS1	ENSG00000154734	ENST00000464589	retained_intron	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ADAMTS1	ENSG00000154734	ENST00000492656	retained_intron	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS1	ENSG00000154734	ENST00000517452	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS1	ENSG00000154734	ENST00000517777	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AF129075.5	ENSG00000231125	ENST00000457162	sense_intronic	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
AF165138.7	ENSG00000243440	ENST00000400562	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
AF165138.7	ENSG00000243440	ENST00000435732	protein_coding	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
AF165138.7	ENSG00000243440	ENST00000467280	retained_intron	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AF165138.7	ENSG00000243440	ENST00000469393	processed_transcript	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
AL078471.5	ENSG00000273840	ENST00000612267	processed_transcript	0	0	0	40	0	0	0	0	0	0	28	0	12	0	0	0	0	0
ANKRD20A11P	ENSG00000215559	ENST00000344693	processed_transcript	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ANKRD20A11P	ENSG00000215559	ENST00000428576	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ANKRD20A11P	ENSG00000215559	ENST00000429521	processed_transcript	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ANKRD20A11P	ENSG00000215559	ENST00000451663	transcribed_unprocessed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ANKRD30BP1	ENSG00000175302	ENST00000451052	unprocessed_pseudogene	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	0
